"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_rel_pess_refe_uc"	"num_familia"	"cod_cond_familia"	"cod_cond_presenca"	"dat_dia_nasc"	"dat_mes_nasc"	"dat_ano_nasc"	"idade_anos"	"idade_mes"	"idade_dia"	"cod_sexo"	"cod_sabe_ler"	"cod_freq_escola"	"cod_curso_freq"	"cod_dur_primeiro_grau_eh"	"cod_serie_freq"	"cod_nivel_instr"	"cod_dur_primeiro_grau_era"	"cod_serie_com_aprovacao"	"cod_concluiu_curso"	"anos_de_estudo"	"cod_cor_raca"	"cod_sit_receita"	"cod_sit_despesa"	"cod_tem_cartao"	"cod_ehtitular_cartao"	"cod_tem_cheque"	"cod_ehtitular_conta"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_gravida"	"num_comprimento"	"num_altura"	"num_peso"	"num_peso_crianca"	"comprimento_imputado"	"altura_imputado"	"peso_imputado"	"renda_percapita"	"cod_religiao"	"cod_tem_plano"	"cod_ehtitular"	"cod_num_dependente"	"cod_unid_consumo"	"teve_necessidade_medicamento"	"precisou_algum_servico"	"tempo_gestacao"	"cod_amamentando"	"cod_leite_materno"	"cod_outro_alimento"	"meses_leite_materno"	"cod_freq_alimentar"	"cod_alimento_consumido"
"49"	2	53	16	6	26	1	3	3	1044.89207584	1294.62404271	3	1	3	1	29	6	2004	4	49	1511	2	2	1	2	0	10	0	0	0	0	0	1	0	0	0	0	0	0	5159	6.85	5165.85	0	0	999.9	999.9	0	0	104.2	15.4	1291.46	350021	2	0	0	0	0	0	-1	-1	-1	-1	-1	4	2
"50"	2	53	16	6	26	1	4	3	1044.89207584	1294.62404271	3	1	3	1	16	10	2007	0	10	307	2	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5159	6.85	5165.85	0	72.5	0	0	8	72.5	0	8	1291.46	350021	2	0	0	0	0	0	-1	-1	2	-1	6	-1	-1
"51"	2	53	16	6	27	1	1	3	1044.89207584	1294.62404271	1	1	1	1	2	2	1962	46	558	16996	1	1	3	0	0	0	8	1	7	2	7	4	1	1	1	1	2	0	1260	639.73	1899.73	0	0	999.9	999.9	0	0	170.9	58.1	949.86	240183	2	0	0	2	2	1	-1	-1	-1	-1	-1	-1	-1
"52"	2	53	16	6	27	1	2	3	1044.89207584	1294.62404271	3	1	3	1	26	6	1995	13	157	4799	1	1	2	5	1	5	0	0	0	0	4	4	2	1	2	0	2	0	1260	639.73	1899.73	0	0	999.9	999.9	0	0	162.3	51.9	949.86	240183	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"53"	2	53	16	6	4	1	1	3	1044.89207584	1294.62404271	1	1	1	1	26	7	1963	44	537	16372	2	2	3	0	0	0	8	1	2	2	2	2	1	1	1	1	2	0	1160.95	18.36	1179.31	2	0	154.5	57.2	0	0	154.5	57.2	393.1	110003	1	1	0	4	1	1	-1	2	-1	-1	-1	-1	-1
"54"	2	53	16	6	4	1	2	3	1044.89207584	1294.62404271	3	1	3	2	14	9	1985	22	272	8286	2	1	3	0	0	0	10	0	3	1	11	2	2	2	0	0	0	0	1160.95	18.36	1179.31	2	0	0	0	0	0	175.3	69.3	393.1	110003	2	0	0	2	0	0	-1	2	-1	-1	-1	-1	-1
"55"	2	53	16	6	4	1	3	3	1044.89207584	1294.62404271	3	1	3	1	13	1	1988	20	244	7435	1	1	3	0	0	0	10	0	3	1	11	2	1	1	2	0	2	0	1160.95	18.36	1179.31	0	0	166	58	0	0	166	58	393.1	110002	1	1	0	1	2	2	-1	-1	-1	-1	-1	-1	-1
"56"	2	53	16	6	5	1	1	3	1044.89207584	1294.62404271	1	1	1	1	10	2	1977	31	376	11446	1	1	3	0	0	0	14	0	4	1	15	4	1	3	2	0	1	1	7199.92	0	7199.92	0	0	999.9	999.9	0	0	190.6	115.4	2399.97	310049	1	1	2	2	2	2	-1	-1	-1	-1	-1	-1	-1
"57"	2	53	16	6	5	1	2	3	1044.89207584	1294.62404271	2	1	2	1	12	4	1979	29	350	10655	2	1	3	0	0	0	14	0	4	1	15	4	2	1	2	0	2	0	7199.92	0	7199.92	2	0	164.1	70.5	0	0	164.1	70.5	2399.97	310049	1	2	0	2	2	2	-1	2	-1	-1	-1	-1	-1
"58"	2	53	16	6	5	1	3	3	1044.89207584	1294.62404271	3	1	3	1	24	8	2005	2	33	1024	2	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	7199.92	0	7199.92	0	93.1	94	14.7	0	0	94	14.7	2399.97	310049	1	2	0	0	0	0	-1	-1	2	-1	6	-1	-1
