"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"perd_cod_p_visit_realm_em"	"qtd_morador_domc"	"qtd_uc"	"qtd_familia"	"cod_tipo_domc"	"cod_material_parede"	"cod_material_cobertura"	"cod_material_piso"	"qtd_comodos_domc"	"qtd_comd_serv_dormit"	"cod_agua_comodo"	"cod_abast_agua"	"qtd_banheiros"	"cod_esgoto_sanit"	"cod_cond_ocup"	"cod_tempo_moradia"	"cod_contrato_docum"	"cod_exist_pavim"	"imput_qtd_comodos"	"imput_qtd_banheiros"	"imput_esgoto"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_servico_distribuicao"	"estrada_grande_1"	"area_1"	"estrada_ferro_1"	"passagem_1"	"gasoduto_1"	"lixao_1"	"esgoto_1"	"rio_1"	"encosta_1"	"lixo_biodegradavel"	"lixo_separado"	"cod_lixo"	"rede_15"	"propria_15"	"diesel_16"	"solar_16"	"eolica_16"	"agua_16"	"biodiesel_16"	"sistema_misto_16"	"outra_fonte_16"	"energia_17"	"gas_17"	"energia_solar_17"	"lenha_17"	"outra_forma_17"	"gas_18"	"lenha_18"	"carvao_18"	"energia_eletrica_18"	"outro_18"
"62"	1	53	12	3	15	2	547.72313297	678.63040891	49	5	1	2	1	1	7	2	8	4	1	1	2	1	1	0	0	1	0	0	0	2101.18	939.34	3040.52	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"63"	1	53	12	3	16	2	547.72313297	678.63040891	50	4	1	1	1	1	2	3	11	4	1	1	4	1	1	0	0	1	0	0	0	9910.73	1895.49	11806.22	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"64"	1	53	12	3	17	2	547.72313297	678.63040891	52	6	1	2	1	1	2	2	18	4	1	1	7	1	1	0	0	1	0	0	0	7866.27	2145.12	10011.38	1	1	2	2	1	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"65"	1	53	12	3	18	2	547.72313297	678.63040891	52	5	1	1	1	1	1	2	6	4	1	1	2	1	1	0	0	1	0	0	0	7929.68	290.78	8220.46	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"66"	1	53	12	3	2	2	547.72313297	678.63040891	41	3	1	1	1	1	1	2	14	5	1	1	5	1	1	0	0	1	0	0	0	1724.03	1861.28	3585.31	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"67"	1	53	12	3	20	2	547.72313297	678.63040891	51	3	1	1	1	1	1	2	7	2	1	1	2	1	1	0	0	1	0	0	0	1200.53	1465.11	2665.64	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"68"	1	53	12	3	4	2	547.72313297	678.63040891	41	4	1	1	1	1	2	2	10	4	1	1	3	1	1	0	0	1	0	0	0	1955.75	1395.08	3350.83	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"69"	1	53	12	3	5	2	547.72313297	678.63040891	46	6	1	1	1	1	7	7	6	3	1	1	1	1	1	0	0	1	0	0	0	1630.9	450	2080.9	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"70"	1	53	13	1	1	3	597.61338879	740.44456769	1	6	1	1	1	1	1	2	9	3	1	1	3	1	1	0	0	1	0	0	0	1623.4	832	2455.4	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"71"	1	53	13	1	10	3	597.61338879	740.44456769	14	2	1	1	1	1	1	2	4	1	1	1	1	1	6	1	1	1	0	0	0	276.92	52.62	329.54	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"72"	1	53	13	1	12	3	597.61338879	740.44456769	13	2	1	1	1	1	1	2	7	1	1	1	2	1	6	3	1	1	0	0	0	5147.62	0	5147.62	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"73"	1	53	13	1	2	3	597.61338879	740.44456769	1	4	1	1	1	1	7	2	6	2	1	1	1	1	1	0	0	1	0	0	0	5458.25	653.81	6112.06	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
