"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"	"quantidade_final"	"cod_imput_quant"	"cod_local_compra"
"98"	6	53	6	9	12	1	1	974.80523604	1207.78626303	6	301	0	48	12	1	48	695684.89	0	3779	920.33	4699.33	9999	0	0	23	1	0
"99"	6	53	6	9	13	1	1	974.80523604	1207.78626303	6	201	0	54	12	1	54	782645.5	3	5976.48	990	6966.48	120	0	0	120	0	0
"100"	6	53	6	9	13	1	1	974.80523604	1207.78626303	6	101	0	13	12	1	13	188414.66	3	5976.48	990	6966.48	10	0	0	10	0	0
"101"	6	53	6	9	13	1	1	974.80523604	1207.78626303	9	3601	1	80	4	1.01	80.8	390356.52	3	5976.48	990	6966.48	0	0	0	0	0	6605
"102"	6	53	6	9	13	1	1	974.80523604	1207.78626303	7	101	1	32	4	1	32	154596.64	3	5976.48	990	6966.48	1	9203	36105	13	1	2006
"103"	6	53	6	9	4	1	1	974.80523604	1207.78626303	7	101	1	40	4	1	40	193245.8	0	3792.67	22.19	3814.86	1	9201	36105	13	0	1012
"104"	6	53	6	9	7	1	1	974.80523604	1207.78626303	6	101	0	57.12	12	1	57.12	827865.02	0	2550	629.25	3179.25	1736	0	0	22	1	0
"105"	6	53	6	9	7	1	1	974.80523604	1207.78626303	6	401	0	55	12	1	55	797138.93	0	2550	629.25	3179.25	0	0	0	0	0	0
"106"	6	53	6	9	7	1	1	974.80523604	1207.78626303	6	201	0	178	12	1	178	2579831.46	0	2550	629.25	3179.25	9999	0	0	507	1	0
"107"	6	53	6	9	7	1	1	974.80523604	1207.78626303	7	101	1	122	4	0.99	120.78	583505.7	0	2550	629.25	3179.25	3	9203	36105	39	0	1012
"108"	6	53	7	7	1	1	2	708.30786026	877.59531031	6	901	0	150	12	1	150	1579671.56	0	12066.23	0	12066.23	0	0	0	0	0	0
"109"	6	53	7	7	1	1	2	708.30786026	877.59531031	6	201	0	23	12	0.98	22.54	237371.98	0	12066.23	0	12066.23	64	0	0	64	0	0
"110"	6	53	7	7	1	1	2	708.30786026	877.59531031	6	701	0	50	12	1.03	51.5	542353.9	0	12066.23	0	12066.23	0	0	0	0	0	0
"111"	6	53	7	7	11	1	2	708.30786026	877.59531031	6	901	0	236.84	12	0.99	234.47	2469237.27	0	3998.24	95.64	4093.87	0	0	0	0	0	0
"112"	6	53	7	7	11	1	2	708.30786026	877.59531031	7	101	1	37	4	0.99	36.63	128585.26	0	3998.24	95.64	4093.87	1	9201	36105	13	0	2007
"113"	6	53	7	7	11	1	2	708.30786026	877.59531031	6	201	0	23.64	12	0.98	23.17	244006.6	0	3998.24	95.64	4093.87	64	0	0	64	0	0
"114"	6	53	7	7	2	1	2	708.30786026	877.59531031	6	401	0	103.38	12	1.02	105.45	1110509.11	0	1801	783.32	2584.32	0	0	0	0	0	0
"115"	6	53	7	7	2	1	2	708.30786026	877.59531031	6	201	0	251	12	0.98	245.98	2590450.73	0	1801	783.32	2584.32	625	0	0	625	0	0
"116"	6	53	7	7	2	1	2	708.30786026	877.59531031	6	101	0	137.52	12	1	137.52	1448242.88	0	1801	783.32	2584.32	31	0	0	31	0	0
"117"	6	53	7	7	2	1	2	708.30786026	877.59531031	7	101	1	78	4	1.02	79.56	279285.93	0	1801	783.32	2584.32	2	9201	36101	26	0	7509
"118"	6	53	7	7	3	1	2	708.30786026	877.59531031	6	101	0	200	12	1	200	2106228.74	0	18531.83	1236	19767.83	9999	0	0	77	1	0
"119"	6	53	7	7	3	1	2	708.30786026	877.59531031	6	201	0	200	12	0.98	196	2064104.17	0	18531.83	1236	19767.83	9999	0	0	309	1	0
"120"	6	53	7	7	3	1	2	708.30786026	877.59531031	6	401	0	300	12	1.02	306	3222529.98	0	18531.83	1236	19767.83	0	0	0	0	0	0
"121"	6	53	7	7	3	1	2	708.30786026	877.59531031	6	501	0	80	12	1.04	83.2	876191.16	0	18531.83	1236	19767.83	0	0	0	0	0	0
"122"	6	53	7	7	3	1	2	708.30786026	877.59531031	7	101	1	185	4	1.01	186.85	655914.73	0	18531.83	1236	19767.83	5	9203	36101	65	0	1013
"123"	6	53	7	7	3	1	2	708.30786026	877.59531031	9	5301	1	50	4	1.01	50.5	177274.25	0	18531.83	1236	19767.83	0	0	0	0	0	6605
"124"	6	53	7	7	6	1	2	708.30786026	877.59531031	6	801	0	347.19	12	1	347.19	3656307.79	0	16671.08	739.54	17410.62	0	0	0	0	0	0
"125"	6	53	7	7	6	1	2	708.30786026	877.59531031	6	201	0	178.9	12	0.98	175.32	1846320.12	0	16671.08	739.54	17410.62	9999	0	0	401	1	0
"126"	6	53	7	7	6	1	2	708.30786026	877.59531031	9	6001	1	130	4	1.01	131.3	460913.06	0	16671.08	739.54	17410.62	0	0	0	0	0	7501
"127"	6	53	7	7	6	1	2	708.30786026	877.59531031	6	401	0	347.19	12	1.02	354.13	3729393.93	0	16671.08	739.54	17410.62	0	0	0	0	0	0
"128"	6	53	7	7	6	1	2	708.30786026	877.59531031	9	9301	1	250	4	1.01	252.5	886371.26	0	16671.08	739.54	17410.62	0	0	0	0	0	7501
"129"	6	53	7	7	6	1	2	708.30786026	877.59531031	8	1301	1	152	4	1.09	165.68	581599.96	0	16671.08	739.54	17410.62	0	0	0	0	0	7501
"130"	6	53	7	7	6	1	2	708.30786026	877.59531031	6	101	0	150.92	12	1	150.92	1589360.21	0	16671.08	739.54	17410.62	9999	0	0	58	1	0
"131"	6	53	7	7	6	1	2	708.30786026	877.59531031	7	101	1	111	4	1	111	389652.32	0	16671.08	739.54	17410.62	3	9201	36101	39	0	1010
"132"	6	53	7	7	6	1	2	708.30786026	877.59531031	9	5401	1	120	4	1.03	123.6	433883.12	0	16671.08	739.54	17410.62	0	0	0	0	0	7502
"133"	6	53	7	7	6	1	2	708.30786026	877.59531031	9	3301	1	120	4	1.01	121.2	425458.21	0	16671.08	739.54	17410.62	0	0	0	0	0	7501
"134"	6	53	7	7	9	1	2	708.30786026	877.59531031	6	201	0	82.73	12	0.98	81.08	853865.13	0	2964.52	11	2975.52	218	0	0	218	0	0
"135"	6	53	7	7	9	1	2	708.30786026	877.59531031	6	501	0	63	12	1.03	64.89	683365.92	0	2964.52	11	2975.52	0	0	0	0	0	0
"136"	6	53	7	7	9	1	2	708.30786026	877.59531031	7	101	1	39	4	0.99	38.61	135535.82	0	2964.52	11	2975.52	2	9203	36105	26	0	2007
"137"	6	53	7	7	9	1	2	708.30786026	877.59531031	6	401	0	54	12	1.02	55.08	580055.4	0	2964.52	11	2975.52	0	0	0	0	0	0
"138"	6	53	8	5	10	1	2	806.17718447	998.85566158	6	901	0	120	12	1	120	1438352.15	0	797.25	31.33	828.58	0	0	0	0	0	0
"139"	6	53	8	5	10	1	2	806.17718447	998.85566158	6	201	0	12	12	1	12	143835.22	0	797.25	31.33	828.58	9999	0	0	59	1	0
"140"	6	53	8	5	10	1	2	806.17718447	998.85566158	6	101	0	21	12	1	21	251711.63	0	797.25	31.33	828.58	9999	0	0	8	1	0
"141"	6	53	8	5	10	1	2	806.17718447	998.85566158	7	101	1	37	4	0.99	36.63	146352.33	0	797.25	31.33	828.58	1	9201	36101	13	0	2006
"142"	6	53	8	5	12	1	2	806.17718447	998.85566158	6	701	0	96	12	1	96	1150681.72	0	3523.67	1530	5053.67	0	0	0	0	0	0
"143"	6	53	8	5	12	1	2	806.17718447	998.85566158	7	101	1	60	4	0.99	59.4	237328.11	0	3523.67	1530	5053.67	2	9203	36105	26	0	2007
"144"	6	53	8	5	12	1	2	806.17718447	998.85566158	6	901	0	270	12	1	270	3236292.34	0	3523.67	1530	5053.67	0	0	0	0	0	0
"145"	6	53	8	5	12	1	2	806.17718447	998.85566158	6	201	0	148	12	1	148	1773967.65	0	3523.67	1530	5053.67	9999	0	0	453	1	0
"146"	6	53	8	5	12	1	2	806.17718447	998.85566158	6	101	0	58	12	1	58	695203.54	0	3523.67	1530	5053.67	9999	0	0	22	1	0
"147"	6	53	8	5	13	1	2	806.17718447	998.85566158	7	101	1	105	4	0.99	103.95	415324.18	0	11294.07	1052.59	12346.65	3	9201	36105	39	0	1012
"148"	6	53	8	5	13	1	2	806.17718447	998.85566158	6	401	0	175	12	1	175	2097596.89	0	11294.07	1052.59	12346.65	0	0	0	0	0	0
"149"	6	53	8	5	13	1	2	806.17718447	998.85566158	6	101	0	102.66	12	1	102.66	1230510.27	0	11294.07	1052.59	12346.65	22	0	0	22	0	0
"150"	6	53	8	5	13	1	2	806.17718447	998.85566158	6	201	0	146.84	12	1	146.84	1760063.58	0	11294.07	1052.59	12346.65	399	0	0	399	0	0
"151"	6	53	8	5	2	1	2	806.17718447	998.85566158	6	201	0	80	12	1	80	958901.44	3	2379.2	1285.2	3664.4	120	0	0	120	0	0
"152"	6	53	8	5	2	1	2	806.17718447	998.85566158	6	101	0	30	12	1	30	359588.04	3	2379.2	1285.2	3664.4	5	0	0	5	0	0
"153"	6	53	8	5	2	1	2	806.17718447	998.85566158	6	901	0	148	12	1	148	1773967.65	3	2379.2	1285.2	3664.4	0	0	0	0	0	0
"154"	6	53	8	5	2	1	2	806.17718447	998.85566158	7	101	1	101	4	1	101	403537.69	3	2379.2	1285.2	3664.4	3	9201	36101	39	1	2007
"155"	6	53	8	5	2	1	2	806.17718447	998.85566158	9	3001	1	70	4	1.01	70.7	282476.38	3	2379.2	1285.2	3664.4	0	0	0	0	0	7501
"156"	6	53	8	5	3	1	2	806.17718447	998.85566158	7	101	1	38	4	0.98	37.24	148789.54	0	7887.54	2550	10437.54	3	9201	36105	39	0	506
"157"	6	53	8	5	3	1	2	806.17718447	998.85566158	6	101	0	70	12	1	70	839038.76	0	7887.54	2550	10437.54	9999	0	0	27	1	0
"158"	6	53	8	5	3	1	2	806.17718447	998.85566158	6	201	0	90	12	0.98	88.2	1057188.83	0	7887.54	2550	10437.54	9999	0	0	261	1	0
