"DISTRITO";"DISTRITO_nome";"sexo";"Sexo";"faixa_idade";"fx_idade";"N";"n";"fator"
10;"LUZIANIA_SEDE";"Feminino";2;"4";"fx15a19";5186.96127684258;105;49.3996312080246
10;"LUZIANIA_SEDE";"Masculino";1;"4";"fx15a19";5373.52817179497;120;44.7794014316248
12;"NOVO GAMA";"Feminino";2;"4";"fx15a19";5149.467;125;41.195736
12;"NOVO GAMA";"Masculino";1;"4";"fx15a19";5000.584;127;39.3746771653543
14;"Pe BERNARDO_M ALTO";"Feminino";2;"4";"fx15a19";423.514621641018;93;4.55392066280664
14;"Pe BERNARDO_M ALTO";"Masculino";1;"4";"fx15a19";441.269288675776;83;5.31649745392501
13;"Pe BERNARDO_SEDE";"Feminino";2;"4";"fx15a19";731.883659176445;67;10.923636704126
13;"Pe BERNARDO_SEDE";"Masculino";1;"4";"fx15a19";762.565836397406;70;10.8937976628201
15;"PLANALTINA";"Feminino";2;"4";"fx15a19";3842.645;89;43.1757865168539
15;"PLANALTINA";"Masculino";1;"4";"fx15a19";4109.35;104;39.5129807692308
16;"SANTO ANTONIO DO DESCOBERTO";"Feminino";2;"4";"fx15a19";3307.22;114;29.010701754386
16;"SANTO ANTONIO DO DESCOBERTO";"Masculino";1;"4";"fx15a19";3341.471;115;29.0562695652174
17;"VALPARAISO DE GOIAS";"Feminino";2;"4";"fx15a19";7297.001;96;76.0104270833333
17;"VALPARAISO DE GOIAS";"Masculino";1;"4";"fx15a19";7000.104;131;53.4359083969466
1;"AGUAS LINDAS DE GOIAS";"Feminino";2;"5";"fx20a24";11528.95;170;67.8173529411765
1;"AGUAS LINDAS DE GOIAS";"Masculino";1;"5";"fx20a24";11252.19;155;72.5947741935484
2;"ALEXANIA";"Feminino";2;"5";"fx20a24";1057.079;54;19.575537037037
2;"ALEXANIA";"Masculino";1;"5";"fx20a24";1105.399;55;20.0981636363636
4;"CIDADE OCID_J ABC";"Feminino";2;"5";"fx20a24";579.2140770975;82;7.06358630606708
4;"CIDADE OCID_J ABC";"Masculino";1;"5";"fx20a24";574.93509726591;66;8.71113783736227
3;"CIDADE OCID_SEDE";"Feminino";2;"5";"fx20a24";2549.94100704808;69;36.9556667688127
3;"CIDADE OCID_SEDE";"Masculino";1;"5";"fx20a24";2531.103160089;100;25.31103160089
8;"COCALZ de GOIAS_GIR/EDI";"Feminino";2;"5";"fx20a24";336.694518021952;69;4.87963069597032
8;"COCALZ de GOIAS_GIR/EDI";"Masculino";1;"5";"fx20a24";362.76593340007;75;4.83687911200093
