"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"156"	10	53	31	0	10	1	3	592.61492979	734.25146377	10	9001	11	250	3	12	1	1	250	2202754.39	0	1387.92	250	1637.92
"157"	10	53	31	0	2	1	3	592.61492979	734.25146377	10	9001	11	150	1	12	1	1	150	1321652.63	0	2206.61	153.99	2360.6
"158"	10	53	31	0	3	1	3	592.61492979	734.25146377	10	9001	11	600	2	12	1	1	600	5286610.54	0	2449.32	20	2469.32
"159"	10	53	31	0	4	1	3	592.61492979	734.25146377	10	9001	11	800	2	12	1	1	800	7048814.05	0	3161.5	815.5	3977
"160"	10	53	31	0	5	1	3	592.61492979	734.25146377	10	9001	11	500	2	12	1	1	500	4405508.78	0	4500.05	271.33	4771.38
"161"	10	53	31	0	7	1	3	592.61492979	734.25146377	10	9001	11	200	3	12	1	1	200	1762203.51	0	274.07	321.83	595.9
"162"	10	53	32	8	12	1	3	1598.16363636	1980.12896802	10	9001	11	999999.99	3	12	1	1	500	11880773.81	1	282	761.75	1043.75
"163"	10	53	32	8	20	1	3	1598.16363636	1980.12896802	10	9001	11	350	4	12	1	0.99	346.5	8233376.25	0	2516.72	414.23	2930.95
"164"	10	53	32	8	6	1	3	1598.16363636	1980.12896802	10	9001	11	600	2	12	1	1	600	14256928.57	0	7371.4	663.72	8035.12
"165"	10	53	32	8	9	1	3	1598.16363636	1980.12896802	10	9001	11	300	2	12	1	1	300	7128464.28	0	1765.75	293.32	2059.06
"166"	10	53	33	6	11	1	3	416.7539865	516.35929039	10	9001	11	400	3	12	1	1	400	2478524.59	0	133.33	383.33	516.67
"167"	10	53	33	6	13	1	3	416.7539865	516.35929039	10	9001	11	300	3	12	1	1	300	1858893.45	0	1301.32	284.16	1585.48
