"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"91"	9	53	41	7	9	1	4	1938.13946459	2401.35991746	19	301	1	50	50301	999999.99	3	11	12	1	1.01	50.5	4.04	1455224.11	116417.93	0	1	1310	574.83	1884.83
"92"	9	53	42	5	1	1	4	642.82555283	796.46255838	19	101	1	500	50101	83	1	2	3	1	1	500	83	1194693.84	198319.18	0	0	15164	1758.8	16922.8
"93"	9	53	42	5	10	1	4	642.82555283	796.46255838	19	301	1	160	50301	0	3	3	12	1	0.99	158.4	0	1513916.03	0	0	0	10391.38	0	10391.38
"94"	9	53	42	5	4	1	4	642.82555283	796.46255838	19	101	1	200	50101	0	1	8	1	1	1.04	208	0	165664.21	0	0	0	2655.63	26.67	2682.29
"95"	9	53	42	5	9	1	4	642.82555283	796.46255838	19	1301	1	465	51301	0	1	3	12	1	0.99	460.35	0	4399818.47	0	0	0	10719.54	530.65	11250.19
"96"	9	53	43	3	2	1	4	1368.97470449	1696.16327588	19	1501	1	370	51501	0	1	1	12	1	1	370	0	7530964.94	0	0	0	6895	383.33	7278.33
"97"	9	53	44	1	15	1	5	994.46813397	1232.14864551	19	301	1	170	50301	0	1	7	7	1	1.05	178.5	0	1539569.73	0	0	0	18889.38	447	19336.38
"98"	9	53	44	1	3	1	5	994.46813397	1232.14864551	19	301	1	200	50301	0	3	4	12	1	1.09	218	0	3223300.86	0	0	0	12038	671.25	12709.25
"99"	9	53	45	0	11	1	5	648.51214128	803.5082565	19	301	1	100	50301	0	3	7	12	1	1.05	105	0	1012420.4	0	0	0	3566.52	286.96	3853.48
"100"	9	53	46	8	2	1	5	722.16743613	894.76736144	19	1701	1	140	51701	0	1	4	12	1	1.09	152.6	0	1638497.99	0	0	0	4305.15	416	4721.15
"101"	9	53	46	8	4	1	5	722.16743613	894.76736144	19	101	1	400	50101	0	1	4	11	1	1.09	436	0	4291304.27	0	0	0	9459.22	615.67	10074.89
"102"	9	53	47	6	3	1	5	567.75985663	703.45596246	19	401	1	100	50401	0	1	1	3	1	1.11	111	0	234250.84	0	0	0	1947.41	357.11	2304.52
"103"	9	53	49	2	8	1	5	530.04015193	656.72114868	19	301	1	45	0	0	3	6	3	1	1.07	48.15	0	94863.37	0	3	0	1136.43	313.07	1449.49
"104"	9	53	50	6	13	1	5	558.06005812	691.43788648	19	301	1	200	50301	0	3	6	11	1	1.07	214	0	1627644.78	0	0	0	8315.89	406.63	8722.51
"105"	9	53	51	4	1	1	5	803.94936368	996.09538574	19	701	1	10	50701	999999.99	1	5	12	1	1.08	10.8	0.86	129093.96	10279.7	0	1	997.4	84.33	1081.73
"106"	9	53	51	4	6	1	5	803.94936368	996.09538574	19	101	1	200	50101	0	1	5	5	1	1.08	216	0	1075783.02	0	0	0	2615.71	60.89	2676.6
"107"	9	53	53	0	13	1	5	468.82320408	580.87318856	19	1301	1	10	51301	0	3	7	6	1	1.05	10.5	0	36595.01	0	0	0	2154.59	296.98	2451.57
"108"	9	53	54	9	5	1	5	629.58204334	780.05381514	19	1301	1	300	51301	0	1	7	12	1	1.05	315	0	2948603.42	0	0	0	172.92	394.85	567.77
