"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"102"	7	53	14	0	1	1	3	745	923.05696839	11	1301	1	2100	0	0	1	1.1	2310	2132261.6	0	20432.47	681.52	21113.99	7501
"103"	7	53	14	0	1	1	3	745	923.05696839	11	2403	3	3500	0	0	1	1.1	3850	3553769.33	0	20432.47	681.52	21113.99	2101
"104"	7	53	14	0	10	1	3	745	923.05696839	10	501	3	997	5	12	1	1.03	1026.91	11374757.18	0	18624.41	244.34	18868.75	8303
"105"	7	53	14	0	10	1	3	745	923.05696839	11	99901	3	30000	0	0	1	1.08	32400	29907045.78	0	18624.41	244.34	18868.75	2101
"106"	7	53	14	0	10	1	3	745	923.05696839	11	1301	1	3000	0	0	1	1.1	3300	3046088	0	18624.41	244.34	18868.75	7502
"107"	7	53	14	0	11	1	3	745	923.05696839	10	101	1	300	8	12	1	1.13	339	3754995.75	0	1195.13	0	1195.13	7508
"108"	7	53	14	0	12	1	3	745	923.05696839	10	101	1	600	6	12	1	1.06	636	7044770.78	0	847.05	257.28	1104.34	7508
"109"	7	53	14	0	12	1	3	745	923.05696839	10	501	3	600	6	12	1	1.03	618	6845390.48	0	847.05	257.28	1104.34	8303
"110"	7	53	14	0	4	1	3	745	923.05696839	10	501	3	108	5	3	1	1.03	111.24	308042.57	0	3461.08	1588.69	5049.77	8201
"111"	7	53	14	0	5	1	3	745	923.05696839	11	1301	1	4000	0	0	1	1.1	4400	4061450.66	0	6110.56	0	6110.56	7501
"112"	7	53	14	0	8	1	3	745	923.05696839	10	501	1	510	3	1	1	1.04	530.4	489589.42	0	1075.78	1172.05	2247.83	8303
"113"	7	53	15	8	1	1	3	453.29347319	561.63181095	10	501	3	158	5	8	1	1.03	162.74	731199.69	0	1658.82	371.9	2030.71	8202
"114"	7	53	15	8	10	1	3	453.29347319	561.63181095	11	99901	7	2000	0	0	1	1.07	2140	1201892.08	0	764.78	586.33	1351.11	2101
"115"	7	53	15	8	12	1	3	453.29347319	561.63181095	10	101	1	300	6	12	1	1.06	318	2143186.99	0	745.07	0	745.07	7508
"116"	7	53	15	8	13	1	3	453.29347319	561.63181095	10	501	3	100	6	6	1	1.03	103	347088.46	0	8800.45	560.5	9360.95	8303
"117"	7	53	15	8	2	1	3	453.29347319	561.63181095	10	501	1	160	2	4	1	1.06	169.6	381011.02	0	5883.78	561.47	6445.24	8202
"118"	7	53	15	8	3	1	3	453.29347319	561.63181095	10	501	1	130	1	1	1	1.07	139.1	78122.98	0	6092.27	400.41	6492.68	7302
"119"	7	53	15	8	3	1	3	453.29347319	561.63181095	12	401	1	120	0	0	1	1.06	127.2	71439.57	0	6092.27	400.41	6492.68	0
"120"	7	53	15	8	3	1	3	453.29347319	561.63181095	10	101	1	800	9	1	1	1.12	896	503222.1	0	6092.27	400.41	6492.68	7508
