referencia|municipio|A01setor|A01nficha|A01npessoas|D01|D02|D06|D03|D04|D05|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|D20|D21|D22|E01|E02|E03|E04|E05|E06|E07|E08|E09|E10|E11|E12|E13|E14|E15|PESO|PROJ_POP|pos_estrato
2016|43|15|1992|2|6601|1|99|1|4|46|1|1|2|13|99|1978|13|3|38|2|0|88|88|0|99|99|0|99|14|99|0|1|2|11|1|4|3|88888|88888|1|2|32,1333041306373|1606,66520653186|03110
2016|43|15|1993|4|6606|1|99|2|1|62|2|7|0|18|99|1989|18|8|36|1|1|43|43|0|99|99|0|99|12|99|0|1|4|2|43|1|11|1200|0|2|43|16,2573504498877|812,867522494383|03213
2016|43|15|1993|4|6604|4|99|2|1|28|1|7|0|1|2|1988|1|88|28|3|0|43|43|0|99|99|0|99|14|99|0|1|4|1|25|4|3|890|88888|2|1|36,0517712654682|2451,52044605184|03206
2016|43|15|1993|4|6603|6|1|2|1|13|99|7|0|1|2|2003|1|88|13|3|0|43|43|99|99|99|1|43|11|7|0|7|99|99|99|99|99|99999|0|99|0|27,0880136184892|2275,39314395309|03203
2016|43|15|1993|4|6605|4|99|1|1|32|1|7|0|1|2|1984|1|88|32|3|0|43|43|0|99|99|0|99|14|99|0|1|4|2|25|4|3|88888|88888|2|1|29,1830020925804|2334,64016740643|03107
2016|43|15|1994|3|6609|1|99|1|1|52|4|3|2|7|99|1995|7|6|21|1|0|43|43|0|99|99|0|99|14|99|0|1|4|6|43|1|11|3000|0|2|43|23,6685476702264|1254,433026522|03111
2016|43|15|1994|3|6607|4|99|2|1|21|1|3|1|7|99|1995|7|6|21|1|0|43|43|0|99|99|0|99|14|99|0|1|4|6|43|1|11|1000|0|2|43|36,5916347197107|2524,82279566004|03205
2016|43|15|1994|3|6608|2|99|2|1|51|4|3|1|7|99|1995|7|6|21|1|0|43|43|0|99|99|2|1|15|3|0|7|99|99|99|99|99|99999|900|0|43|22,4043493827194|1366,66531234588|03211
2016|43|15|1995|4|6610|4|0|2|1|7|99|3|2|9|99|9999|99|99|888|3|2|0|0|99|99|99|1|43|11|1|0|99|99|99|99|99|99|99999|99999|99|99|31,1443145078933|2398,11221710779|03202
2016|43|15|1995|4|6611|4|99|1|2|15|1|3|2|1|1|8888|1|1|888|3|2|0|0|99|99|99|1|43|13|1|0|7|99|99|99|99|99|99999|0|0|0|27,3717971800718|2518,20534056661|03104
2016|43|15|1995|4|6612|1|99|1|2|32|7|3|2|11|99|1990|11|6|26|3|2|0|0|0|99|99|0|99|2|99|0|6|99|99|99|99|99|99999|0|0|43|29,1830020925804|2334,64016740643|03107
2016|43|15|1995|4|6613|2|99|2|2|32|7|3|2|1|1|1986|1|6|30|3|2|0|0|0|99|99|0|99|14|99|0|6|99|99|99|99|99|99999|0|0|0|28,5315163441309|2539,30495462765|03207
2016|43|15|1996|5|6614|4|0|2|4|6|99|2|1|1|2|2010|1|88|6|3|0|1|43|99|99|99|1|43|11|1|0|99|99|99|99|99|99|99999|99999|99|99|31,1443145078933|2398,11221710779|03202
2016|43|15|1996|5|6618|1|99|1|2|49|2|2|1|1|2|1967|1|88|49|2|2|0|0|0|99|99|0|99|14|99|0|1|7|4|1|2|3|88888|88888|2|43|32,1333041306373|1606,66520653186|03110
2016|43|15|1996|5|6616|4|99|2|1|15|1|2|1|1|2|2001|1|88|15|3|0|1|43|99|99|99|1|43|13|1|0|1|4|14|43|1|11|400|0|1|88|23,5845849087621|2429,2122456025|03204
2016|43|15|1996|5|6615|4|0|2|4|12|99|2|1|1|2|2004|1|88|12|3|0|1|43|99|99|99|1|43|11|6|0|1|4|14|43|1|11|400|0|1|88|27,0880136184892|2275,39314395309|03203
